Week	Main Topic	Session 1 (1.5 hrs)	Session 2 (1.5 hrs)	Homework/Practice																					
1	Introduction to Programming	• Overview of CCC: contest format (5 Q, 3 hrs), why participate.• Install Python & IDE.• First program: print() statements, basic syntax.	• Variables and data types (int, float, str, bool).• Basic math (+ − × ÷ %).• Exercises – area calc, simple arithmetic (J1 style).	Write 3-5 simple print programs. Read Python intro on python.org. Practice 1-2 easy problems from Code.org.																					
2	Input / Output & Basic Logic	• User input input().• Type conversion (int(), str()).• Output formatting (f-strings).	• Conditionals if/elif/else and comparison ops (==, >, <).• Boolean logic.• Practice – even/odd check, basic decisions.	Code 5 programs using input and conditionals (e.g., age checker). Review CCC Junior problem samples for basic I/O.																					
3	Loops Basics	• while loops – syntax, avoiding infinite loops.• Counting examples.	• for loops – range(), iteration over numbers.• Sum / average programs.	Loop exercises: Print patterns (e.g., stars), sum first N numbers. Attempt a simple CCC past problem (e.g., 2010 J1: basic counting).																					
4	Nested Loops & Strings	• Nested loops – patterns, grids.• Intro to strings (indexing, slicing, len()).	• String methods (upper(), find(), replace()).• Reverse string, text manipulation.• Practice – CCC J3/J4 simulation (distance tables).	String and loop combos: Count vowels, palindrome check. Homework: 3-4 exercises + one CCC sample (e.g., string counting problem).																					
5	Lists & Dictionaries	• Lists – create, index, append(), remove(). Basic ops.• Dictionary basics (key-value pairs).	• Loop through lists (sum, max/min, search).• Simple sorting (sorted()).• Dictionary lookup/update.• Practice – palindrome check, frequency count.	List exercises: Average grades, find duplicates. Practice CCC-like: Process a list of numbers.																					
6	Functions	• Define functions (def, parameters, return).• Reusability & modular solutions.	• Functions with loops & conditionals (e.g. factorial).• Variable scope basics.	Write 5 functions (e.g., is_prime). Refactor Week 3 homework into functions.																					
7	2D Lists / Arrays	• 2D list creation, access elements, nested traversal.	• Applications – sum rows/cols, grids simulation.• Practice – CCC J2/J3 simulation problems.	2D exercises: Tic-tac-toe board, image-like patterns. CCC sample: Process a grid.																					
8	Mid-Course Review & Simple Algorithms	• Review Weeks 1–7 + Quiz.• Intro to brute-force searching.• Debugging basics & efficiency (N≤100 okay).	• Counting problems – frequency in lists/strings.• Basic complexity discussion.	Mixed review problems. Attempt full CCC Junior past problem set (e.g., 2015 J1-J2).																					
9	Advanced Conditionals & Loops	• Complex if-else nesting.• break, continue usage.	• Conditional loops – game examples (e.g. guess the number).	Coding challenges: Number guessing game. CCC practice: Problems with multiple conditions.																					
10	String Algorithms	• Advanced strings – split/join, palindromes, anagrams.• Regex intro (if ready).	• Message decoding, word count, input parsing.• Cumulative sum tables.	String-heavy problems from past CCC (e.g., 2018 J3).																					
11	List Algorithms	• Sorting concepts – Bubble sort intro.• Binary search basics.	• Sub-lists, merging, efficiency comparison (why sorting matters).	Implement simple sort. Practice CCC: List processing (e.g., 2020 J2).																					
12	Functions & Modularity	• Recursion intro – factorial, Fibonacci.• Bottom-up idea (DP concept).	• Modular design – breaking problems into functions.• Debugging practice.	Recursion exercises (2-3). Refactor a past homework.																					
13	2D Arrays & Grids	• Advanced 2D patterns – path counting, matrix ops.	• Simulation – mazes, game boards.	Grid problems: CCC past (e.g., 2016 J4). Build a small grid-based game.																					
14	Algorithm Design	• Brute force vs greedy approaches.• Common patterns – max/min, accumulation.	• Group problem-solving – design CCC-style questions.	Solve 3-4 algorithm problems. Attempt CCC 2021 J1-J3.																					
15	Efficiency & Optimization	• Time limits in CCC – loop impact.• Big-O concept (no math).	• Optimize past solutions – find inefficient code.	Optimize a slow loop. Practice timed coding (1 hour for 2 problems).																					
16	Full Problem-Solving Practice	• Walkthrough – CCC Junior set (e.g. 2022).• Strategy discussion.	• Independent practice – J1–J2 from another year + review.	Complete unsolved problems. Submit to CCC Grader.																					
17	Mock Contest 1	• Simulated contest (3 problems, J1–J3 level).	• Debrief – common mistakes, time management tips.	Finish mock, attempt J4-J5 equivalents.																					
18	Advanced Topics & Edge Cases	• Recursion deeper (tree-style thinking).• Handling edge cases (large inputs, empty data).	• File I/O basics (read/write for larger inputs).	Recursion practice. CCC problems with edges (e.g., 2019 J5).																					
19	Mock Contest 2	• Full mock (3 problems, mixed difficulty).	• Strategy review – partial scores, problem reading.	Review mocks. Solve 1-2 hard past problems.																					
